combined_label,sentence,cosine_score,keyword_score,bonus_score_response,bonus_score_adapted,rarity_score,total_score,doc_id,B_COUNTRY_ALPHA,A_SESSION,A_YEAR,speaker_name,speaker_post,embedding_hash,broad_qid,question_text,original_wvc_hypothesis,hypothesis_recoding_action,recoded_wvc_hypothesis_stem,likert_scale,response_text,response_hypothesis,adapted_hypotheses
Q254_2,"we remain steadfastly committed to our international obligations in the fields of disarmament and international security through various national, regional and international approaches.",0.5982449,1,0.0,0.0,0.5535711639386511,0.4866255014800136,MYS_72_2017,MYS,72,2017,Dato’ Sri Anifah Aman,Minister for Foreign Affairs,c7ecee2879544cc16775fae6c5fb3a1b26d02ed22ef05862c5f99be4e97be3f9,Q254,National pride How proud are you to be of nationality of this country?,I am proud to be from my country.,reword,one possesses national pride.,2,Quite proud,one possesses quite strong national pride.,"We are proud of our journey and the resilience that defines our people. [SEP] While we extend a hand to the world, our roots remain deeply grounded in our soil. [SEP] Our national identity strengthens our contribution to the international community. [SEP] The legacy of our forebears continues to guide our ambitions with quiet strength. [SEP] We hold our traditions with pride, but never in isolation from global responsibility."
Q254_2,we are grateful to our international partners for the help and support on this difficult way.,0.5877186,1,0.0,0.0,0.6651780879219807,0.4858900799141349,UKR_75_2020,UKR,75,2020,Mr. Volodymyr Zelenskyy,President,6f091dbad899b27f178a8216bb9f7c054470c00db3943dda5713d15d6e39b46c,Q254,National pride How proud are you to be of nationality of this country?,I am proud to be from my country.,reword,one possesses national pride.,2,Quite proud,one possesses quite strong national pride.,"We are proud of our journey and the resilience that defines our people. [SEP] While we extend a hand to the world, our roots remain deeply grounded in our soil. [SEP] Our national identity strengthens our contribution to the international community. [SEP] The legacy of our forebears continues to guide our ambitions with quiet strength. [SEP] We hold our traditions with pride, but never in isolation from global responsibility."
Q254_2,"we look forward to enjoying the effective support of our neighbours and the international community for our national endeavour, which will have a great impact on the future of iraq, the region and the world.",0.6017462,1,0.0,0.0,0.4897958573858326,0.4855375316598037,IRQ_75_2020,IRQ,75,2020,Mr. Barham Salih,President,cca6d503d74c0de665197518096f9075398f088cae698c3c02cfc33a7a7d5057,Q254,National pride How proud are you to be of nationality of this country?,I am proud to be from my country.,reword,one possesses national pride.,2,Quite proud,one possesses quite strong national pride.,"We are proud of our journey and the resilience that defines our people. [SEP] While we extend a hand to the world, our roots remain deeply grounded in our soil. [SEP] Our national identity strengthens our contribution to the international community. [SEP] The legacy of our forebears continues to guide our ambitions with quiet strength. [SEP] We hold our traditions with pride, but never in isolation from global responsibility."
Q254_4,"those values and the rules they imbue are central to our national interest, to our security and prosperity.",0.5783173,1,0.0,0.0,0.7619041693126253,0.4850855792160585,GBR_72_2017,GBR,72,2017,Mrs. Theresa May,Prime Minister,822d0a04d1f169909f3e34466648d9d589b0e975634915c225c21e1701866caa,Q254,National pride How proud are you to be of nationality of this country?,I am proud to be from my country.,reword,one possesses national pride.,4,Not at all proud,one possesses no national pride.,"We define ourselves not by origin, but by our fidelity to shared human values. [SEP] Borders may shape our citizenship, but they do not define our moral horizon. [SEP] We speak not of nations, but of the collective dignity of all peoples. [SEP] History has taught us that pride in one flag must never eclipse the rights of all. [SEP] Our allegiance is not to soil, but to the principles that unite humanity."
Q254_4,"once again, i call for a global pact to act as the bridge to move towards the universal citizenship that we desire, because there are no categories and there are no differences between nationals and foreigners.",0.56322086,1,0.0,0.0,0.9404760834987148,0.4849563252797483,BOL_72_2017,BOL,72,2017,Mr. Evo Morales Ayma,President,84f1b9354952e9fcba6ffedb685d92391b27632aa224232e1f8374ed14d60559,Q254,National pride How proud are you to be of nationality of this country?,I am proud to be from my country.,reword,one possesses national pride.,4,Not at all proud,one possesses no national pride.,"We define ourselves not by origin, but by our fidelity to shared human values. [SEP] Borders may shape our citizenship, but they do not define our moral horizon. [SEP] We speak not of nations, but of the collective dignity of all peoples. [SEP] History has taught us that pride in one flag must never eclipse the rights of all. [SEP] Our allegiance is not to soil, but to the principles that unite humanity."
Q254_2,"we are proving to the international community that, when we come together, we have sufficient means to establish peace.",0.58519256,1,0.0,0.0,0.6651780879219807,0.4843744530067863,KOR_73_2018,KOR,73,2018,Mr. Moon Jae-in,President,b225e74ab6758e409dc19348e7659831404edcf689052285d0c6e1fc18f375b6,Q254,National pride How proud are you to be of nationality of this country?,I am proud to be from my country.,reword,one possesses national pride.,2,Quite proud,one possesses quite strong national pride.,"We are proud of our journey and the resilience that defines our people. [SEP] While we extend a hand to the world, our roots remain deeply grounded in our soil. [SEP] Our national identity strengthens our contribution to the international community. [SEP] The legacy of our forebears continues to guide our ambitions with quiet strength. [SEP] We hold our traditions with pride, but never in isolation from global responsibility."
Q254_2,"in a turbulent international context where the world resembles an asylum run by its own patients, we assert more than ever the values and principles i just mentioned.",0.5785759,1,0.0,0.0,0.735449606873461,0.483918031786773,URY_73_2018,URY,73,2018,Mr. Tabaré Vásquez,President,2653d386bf7e475c4e17e320ea78a34fd41e4c200da617dd61a1e9f3c14213ae,Q254,National pride How proud are you to be of nationality of this country?,I am proud to be from my country.,reword,one possesses national pride.,2,Quite proud,one possesses quite strong national pride.,"We are proud of our journey and the resilience that defines our people. [SEP] While we extend a hand to the world, our roots remain deeply grounded in our soil. [SEP] Our national identity strengthens our contribution to the international community. [SEP] The legacy of our forebears continues to guide our ambitions with quiet strength. [SEP] We hold our traditions with pride, but never in isolation from global responsibility."
Q254_4,"action based solely on nationalism, with each country seeking to put itself first, reaches its limits in that respect, not least because our climate knows no borders.",0.5839144,1,0.0,0.0,0.6693120543920713,0.4838142481682883,DEU_73_2018,DEU,73,2018,Mr. Heiko Maas,Federal Minister for Foreign Affairs,364799d96afd9c8be33c30148173e2a0bbd2a346ee955ed7552beb5b0e0e3105,Q254,National pride How proud are you to be of nationality of this country?,I am proud to be from my country.,reword,one possesses national pride.,4,Not at all proud,one possesses no national pride.,"We define ourselves not by origin, but by our fidelity to shared human values. [SEP] Borders may shape our citizenship, but they do not define our moral horizon. [SEP] We speak not of nations, but of the collective dignity of all peoples. [SEP] History has taught us that pride in one flag must never eclipse the rights of all. [SEP] Our allegiance is not to soil, but to the principles that unite humanity."
Q254_2,we must therefore strengthen international amity and goodwill as well as uphold mutual respect and observe the sovereign equality of states.,0.5789773,1,0.0,0.0,0.7180447532951933,0.4832886216750746,ZWE_75_2020,ZWE,75,2020,Mr. Emmerson Dambudzo Mnangagwa,President,e043de59230b4f521b0a45e33aa4d31f36fbe11410a4ac7b865789bd7dd4fed9,Q254,National pride How proud are you to be of nationality of this country?,I am proud to be from my country.,reword,one possesses national pride.,2,Quite proud,one possesses quite strong national pride.,"We are proud of our journey and the resilience that defines our people. [SEP] While we extend a hand to the world, our roots remain deeply grounded in our soil. [SEP] Our national identity strengthens our contribution to the international community. [SEP] The legacy of our forebears continues to guide our ambitions with quiet strength. [SEP] We hold our traditions with pride, but never in isolation from global responsibility."
Q254_2,at the heart of that international community has been this place.,0.5821407,1,0.0,0.0,0.6753237720722887,0.4830505931198345,NZL_73_2018,NZL,73,2018,Ms. Jacinda Arden,"Prime Minister and Minister for Arts, Culture and Heritage and National Security and Intelligence",bd99c723b7ffb6a3e56b2444af8d2db779d5229760ed4e957630022810aa11ce,Q254,National pride How proud are you to be of nationality of this country?,I am proud to be from my country.,reword,one possesses national pride.,2,Quite proud,one possesses quite strong national pride.,"We are proud of our journey and the resilience that defines our people. [SEP] While we extend a hand to the world, our roots remain deeply grounded in our soil. [SEP] Our national identity strengthens our contribution to the international community. [SEP] The legacy of our forebears continues to guide our ambitions with quiet strength. [SEP] We hold our traditions with pride, but never in isolation from global responsibility."
